product_id,category,stock_qty,units_sold_total,reorder_point,needs_restock,last_restock_date,warehouse_location
PROD0001,Electronics,21,117,17,0,10-05-2024,WH-A05
PROD0002,Electronics,36,111,16,0,29-06-2024,WH-B06
PROD0003,Electronics,28,132,19,0,24-04-2024,WH-A12
PROD0004,Electronics,13,119,17,1,14-06-2024,WH-D13
PROD0005,Electronics,27,116,17,0,06-04-2024,WH-A04
PROD0006,Electronics,25,133,19,0,13-06-2024,WH-A10
PROD0007,Electronics,42,151,22,0,24-04-2024,WH-C01
PROD0008,Electronics,7,124,18,1,27-06-2024,WH-A04
PROD0009,Electronics,37,107,16,0,16-06-2024,WH-D06
PROD0010,Electronics,35,116,17,0,04-05-2024,WH-A18
PROD0011,Electronics,18,115,17,0,04-04-2024,WH-D02
PROD0012,Electronics,47,131,19,0,03-05-2024,WH-D04
PROD0013,Electronics,31,132,19,0,17-05-2024,WH-A12
PROD0014,Electronics,29,162,24,0,09-06-2024,WH-C13
PROD0015,Electronics,11,94,14,1,31-05-2024,WH-D17
PROD0016,Electronics,4,124,18,1,25-04-2024,WH-D09
PROD0017,Electronics,13,80,12,0,12-05-2024,WH-A09
PROD0018,Electronics,11,111,16,1,06-04-2024,WH-A10
PROD0019,Electronics,37,146,21,0,10-04-2024,WH-C18
PROD0020,Electronics,15,121,18,1,19-06-2024,WH-C04
PROD0021,Electronics,0,0,10,1,08-06-2024,WH-A10
PROD0022,Electronics,45,135,20,0,23-06-2024,WH-D09
PROD0023,Electronics,20,89,13,0,17-04-2024,WH-A07
PROD0024,Electronics,1,103,15,1,18-04-2024,WH-D17
PROD0025,Electronics,30,114,17,0,16-05-2024,WH-D06
PROD0026,Electronics,20,132,19,0,04-06-2024,WH-D16
PROD0027,Electronics,52,197,29,0,13-05-2024,WH-C05
PROD0028,Electronics,51,131,19,0,08-05-2024,WH-B08
PROD0029,Electronics,54,153,22,0,13-05-2024,WH-B14
PROD0030,Electronics,30,107,16,0,15-05-2024,WH-A15
PROD0031,Electronics,31,126,18,0,18-04-2024,WH-D10
PROD0032,Electronics,12,144,21,1,17-05-2024,WH-C06
PROD0033,Electronics,43,136,20,0,25-05-2024,WH-D06
PROD0034,Electronics,5,94,14,1,12-06-2024,WH-B18
PROD0035,Electronics,22,117,17,0,03-04-2024,WH-C13
PROD0036,Electronics,46,129,19,0,02-04-2024,WH-B16
PROD0037,Electronics,7,92,13,1,16-05-2024,WH-D10
PROD0038,Electronics,42,109,16,0,23-05-2024,WH-D15
PROD0039,Electronics,48,138,20,0,29-05-2024,WH-B05
PROD0040,Electronics,42,122,18,0,12-06-2024,WH-D12
PROD0041,Clothing,31,131,19,0,21-05-2024,WH-B15
PROD0042,Clothing,17,133,19,1,11-06-2024,WH-C03
PROD0043,Clothing,28,133,19,0,09-05-2024,WH-A01
PROD0044,Clothing,21,149,22,1,27-04-2024,WH-A10
PROD0045,Clothing,46,123,18,0,30-05-2024,WH-C09
PROD0046,Clothing,14,135,20,1,16-04-2024,WH-B09
PROD0047,Clothing,0,0,10,1,04-05-2024,WH-D09
PROD0048,Clothing,5,114,17,1,19-05-2024,WH-D12
PROD0049,Clothing,10,144,21,1,08-05-2024,WH-B17
PROD0050,Clothing,45,120,18,0,21-04-2024,WH-B18
PROD0051,Clothing,37,132,19,0,11-04-2024,WH-C15
PROD0052,Clothing,18,115,17,0,07-04-2024,WH-D02
PROD0053,Clothing,47,135,20,0,14-05-2024,WH-B13
PROD0054,Clothing,58,152,22,0,13-04-2024,WH-D04
PROD0055,Clothing,15,101,15,0,24-06-2024,WH-C19
PROD0056,Clothing,36,175,26,0,21-06-2024,WH-D04
PROD0057,Clothing,13,97,14,1,24-06-2024,WH-C05
PROD0058,Clothing,27,154,23,0,13-06-2024,WH-B10
PROD0059,Clothing,19,147,22,1,15-05-2024,WH-D05
PROD0060,Clothing,45,124,18,0,21-06-2024,WH-B06
PROD0061,Clothing,39,114,17,0,02-04-2024,WH-C13
PROD0062,Clothing,49,138,20,0,18-06-2024,WH-A05
PROD0063,Clothing,28,118,17,0,20-05-2024,WH-D09
PROD0064,Clothing,10,136,20,1,19-06-2024,WH-B03
PROD0065,Clothing,24,116,17,0,30-05-2024,WH-D07
PROD0066,Clothing,41,133,19,0,04-05-2024,WH-B17
PROD0067,Clothing,42,142,21,0,13-04-2024,WH-C05
PROD0068,Clothing,35,109,16,0,11-05-2024,WH-C17
PROD0069,Clothing,0,0,10,1,08-04-2024,WH-B17
PROD0070,Clothing,1,108,16,1,26-05-2024,WH-C18
PROD0071,Clothing,4,164,24,1,01-05-2024,WH-D07
PROD0072,Clothing,15,107,16,1,14-05-2024,WH-D14
PROD0073,Clothing,14,111,16,1,23-04-2024,WH-B03
PROD0074,Clothing,0,0,10,1,29-04-2024,WH-D09
PROD0075,Clothing,61,157,23,0,22-04-2024,WH-D13
PROD0076,Clothing,32,120,18,0,16-05-2024,WH-B04
PROD0077,Clothing,24,138,20,0,26-06-2024,WH-A13
PROD0078,Clothing,42,115,17,0,03-05-2024,WH-D03
PROD0079,Clothing,10,105,15,1,24-04-2024,WH-D17
PROD0080,Clothing,29,95,14,0,28-06-2024,WH-D04
PROD0081,Clothing,35,131,19,0,14-06-2024,WH-B12
PROD0082,Clothing,35,143,21,0,27-05-2024,WH-C12
PROD0083,Clothing,24,136,20,0,18-05-2024,WH-C05
PROD0084,Clothing,15,130,19,1,25-05-2024,WH-A18
PROD0085,Clothing,35,119,17,0,04-04-2024,WH-C05
PROD0086,Clothing,0,0,10,1,18-06-2024,WH-D15
PROD0087,Clothing,24,115,17,0,19-04-2024,WH-B14
PROD0088,Clothing,36,121,18,0,05-04-2024,WH-A11
PROD0089,Clothing,0,0,10,1,02-05-2024,WH-D09
PROD0090,Clothing,10,165,24,1,13-04-2024,WH-D13
