item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
ITEM0000001,ORD0000001,PROD0160,4,756.75,0,3027
ITEM0000002,ORD0000001,PROD0100,4,2072.2,0,8288.8
ITEM0000003,ORD0000001,PROD0117,4,6437.22,0,25748.88
ITEM0000004,ORD0000002,PROD0014,4,7928.83,5,30129.55
ITEM0000005,ORD0000003,PROD0049,1,567.72,0,567.72
ITEM0000006,ORD0000003,PROD0002,3,50293.82,0,150881.46
ITEM0000007,ORD0000004,PROD0199,2,1292.33,10,2326.19
ITEM0000008,ORD0000005,PROD0165,3,8926.78,0,26780.34
ITEM0000009,ORD0000005,PROD0008,3,57369.56,0,172108.68
ITEM0000010,ORD0000006,PROD0041,3,3166.8,15,8075.34
ITEM0000011,ORD0000007,PROD0167,4,11229.68,20,35934.98
ITEM0000012,ORD0000008,PROD0008,3,57369.56,0,172108.68
ITEM0000013,ORD0000008,PROD0010,1,32892.86,0,32892.86
ITEM0000014,ORD0000008,PROD0115,4,11862.11,0,47448.44
ITEM0000015,ORD0000008,PROD0004,4,25591.73,0,102366.92
ITEM0000016,ORD0000009,PROD0103,2,2970.53,0,5941.06
ITEM0000017,ORD0000010,PROD0054,3,7111.73,0,21335.19
ITEM0000018,ORD0000011,PROD0071,3,3890.52,0,11671.56
ITEM0000019,ORD0000012,PROD0119,2,2991.81,0,5983.62
ITEM0000020,ORD0000012,PROD0052,4,5153.96,0,20615.84
ITEM0000021,ORD0000013,PROD0147,1,3374.12,0,3374.12
ITEM0000022,ORD0000014,PROD0076,1,1552.25,15,1319.41
ITEM0000023,ORD0000015,PROD0099,3,12519.55,0,37558.65
ITEM0000024,ORD0000015,PROD0057,1,742.06,0,742.06
ITEM0000025,ORD0000015,PROD0038,1,15904.21,0,15904.21
ITEM0000026,ORD0000015,PROD0035,3,24304.78,0,72914.34
ITEM0000027,ORD0000016,PROD0058,3,1179.58,0,3538.74
ITEM0000028,ORD0000017,PROD0065,1,1921.1,10,1728.99
ITEM0000029,ORD0000018,PROD0010,1,32892.86,0,32892.86
ITEM0000030,ORD0000019,PROD0177,4,5985.15,15,20349.51
ITEM0000031,ORD0000019,PROD0103,2,2970.53,15,5049.9
ITEM0000032,ORD0000020,PROD0199,3,1292.33,15,3295.44
ITEM0000033,ORD0000020,PROD0192,4,867.73,15,2950.28
ITEM0000034,ORD0000021,PROD0032,3,38426.75,10,103752.22
ITEM0000035,ORD0000021,PROD0182,4,2159.96,10,7775.86
ITEM0000036,ORD0000022,PROD0079,2,3868.77,0,7737.54
ITEM0000037,ORD0000022,PROD0109,3,6201.15,0,18603.45
ITEM0000038,ORD0000022,PROD0153,4,1769.3,0,7077.2
ITEM0000039,ORD0000022,PROD0194,3,238.12,0,714.36
ITEM0000040,ORD0000023,PROD0025,2,48796.51,0,97593.02
ITEM0000041,ORD0000023,PROD0181,2,5765.01,0,11530.02
ITEM0000042,ORD0000024,PROD0194,1,238.12,5,226.21
ITEM0000043,ORD0000025,PROD0191,4,1435.77,5,5455.93
ITEM0000044,ORD0000025,PROD0178,3,1834.02,5,5226.96
ITEM0000045,ORD0000025,PROD0145,2,3126.57,5,5940.48
ITEM0000046,ORD0000026,PROD0073,4,346.89,15,1179.43
ITEM0000047,ORD0000026,PROD0145,3,3126.57,15,7972.75
ITEM0000048,ORD0000027,PROD0117,1,6437.22,0,6437.22
ITEM0000049,ORD0000028,PROD0138,1,1511.7,5,1436.12
ITEM0000050,ORD0000029,PROD0108,1,8722.77,0,8722.77
ITEM0000051,ORD0000030,PROD0200,4,540.59,5,2054.24
ITEM0000052,ORD0000030,PROD0153,4,1769.3,5,6723.34
ITEM0000053,ORD0000031,PROD0091,4,10714.93,0,42859.72
ITEM0000054,ORD0000031,PROD0135,4,1341.78,0,5367.12
ITEM0000055,ORD0000032,PROD0168,3,3183.64,5,9073.37
ITEM0000056,ORD0000032,PROD0091,3,10714.93,5,30537.55
ITEM0000057,ORD0000032,PROD0186,1,1358.84,5,1290.9
ITEM0000058,ORD0000033,PROD0011,2,58607.44,15,99632.65
ITEM0000059,ORD0000033,PROD0144,3,905.61,15,2309.31
ITEM0000060,ORD0000033,PROD0019,3,21504.79,15,54837.21
ITEM0000061,ORD0000034,PROD0038,1,15904.21,5,15109
ITEM0000062,ORD0000034,PROD0106,2,478.86,5,909.83
ITEM0000063,ORD0000034,PROD0166,3,8733.51,5,24890.5
ITEM0000064,ORD0000034,PROD0037,4,56353.69,5,214144.02
ITEM0000065,ORD0000035,PROD0058,1,1179.58,0,1179.58
ITEM0000066,ORD0000036,PROD0015,1,67106.58,0,67106.58
ITEM0000067,ORD0000036,PROD0093,2,12429.79,0,24859.58
ITEM0000068,ORD0000037,PROD0121,3,389.01,10,1050.33
ITEM0000069,ORD0000038,PROD0027,1,27299.16,0,27299.16
ITEM0000070,ORD0000039,PROD0066,2,2108.12,5,4005.43
ITEM0000071,ORD0000039,PROD0147,1,3374.12,5,3205.41
ITEM0000072,ORD0000039,PROD0097,4,7278.34,5,27657.69
ITEM0000073,ORD0000040,PROD0050,4,4918.81,0,19675.24
ITEM0000074,ORD0000041,PROD0011,3,58607.44,10,158240.09
ITEM0000075,ORD0000041,PROD0168,4,3183.64,10,11461.1
ITEM0000076,ORD0000041,PROD0176,4,975.19,10,3510.68
ITEM0000077,ORD0000042,PROD0084,3,784.26,5,2235.14
ITEM0000078,ORD0000043,PROD0104,1,12889.74,15,10956.28
ITEM0000079,ORD0000043,PROD0050,2,4918.81,15,8361.98
ITEM0000080,ORD0000044,PROD0146,1,4641.78,5,4409.69
ITEM0000081,ORD0000044,PROD0012,1,33141.38,5,31484.31
ITEM0000082,ORD0000045,PROD0185,1,9871.56,0,9871.56
ITEM0000083,ORD0000046,PROD0042,4,1233.59,15,4194.21
ITEM0000084,ORD0000046,PROD0127,4,9556.44,15,32491.9
ITEM0000085,ORD0000046,PROD0152,3,1817.42,15,4634.42
ITEM0000086,ORD0000047,PROD0026,4,40491.32,0,161965.28
ITEM0000087,ORD0000048,PROD0088,1,1045.29,0,1045.29
ITEM0000088,ORD0000049,PROD0005,4,40289.58,0,161158.32
ITEM0000089,ORD0000049,PROD0190,4,1254.49,0,5017.96
ITEM0000090,ORD0000049,PROD0050,2,4918.81,0,9837.62
ITEM0000091,ORD0000050,PROD0198,1,890.11,25,667.58
ITEM0000092,ORD0000051,PROD0015,3,67106.58,15,171121.78
ITEM0000093,ORD0000052,PROD0042,2,1233.59,20,1973.74
ITEM0000094,ORD0000052,PROD0029,4,50556.2,20,161779.84
ITEM0000095,ORD0000053,PROD0107,3,5093.26,20,12223.82
ITEM0000096,ORD0000053,PROD0027,4,27299.16,20,87357.31
ITEM0000097,ORD0000054,PROD0182,2,2159.96,10,3887.93
ITEM0000098,ORD0000054,PROD0154,1,1821.18,10,1639.06
ITEM0000099,ORD0000054,PROD0014,3,7928.83,10,21407.84
ITEM0000100,ORD0000054,PROD0030,3,745.3,10,2012.31
ITEM0000101,ORD0000055,PROD0060,3,3327.41,0,9982.23
ITEM0000102,ORD0000056,PROD0051,4,5103.04,15,17350.34
ITEM0000103,ORD0000056,PROD0116,1,4368.06,15,3712.85
ITEM0000104,ORD0000057,PROD0166,4,8733.51,0,34934.04
ITEM0000105,ORD0000057,PROD0097,1,7278.34,0,7278.34
ITEM0000106,ORD0000058,PROD0110,1,232.06,5,220.46
ITEM0000107,ORD0000059,PROD0046,1,6212.04,0,6212.04
ITEM0000108,ORD0000059,PROD0159,1,584.29,0,584.29
ITEM0000109,ORD0000060,PROD0154,3,1821.18,5,5190.36
ITEM0000110,ORD0000060,PROD0097,1,7278.34,5,6914.42
ITEM0000111,ORD0000061,PROD0066,2,2108.12,10,3794.62
ITEM0000112,ORD0000061,PROD0038,1,15904.21,10,14313.79
ITEM0000113,ORD0000062,PROD0076,3,1552.25,5,4423.91
ITEM0000114,ORD0000063,PROD0033,4,34304.44,15,116635.1
ITEM0000115,ORD0000064,PROD0144,1,905.61,10,815.05
ITEM0000116,ORD0000064,PROD0019,3,21504.79,10,58062.93
ITEM0000117,ORD0000065,PROD0186,2,1358.84,20,2174.14
ITEM0000118,ORD0000065,PROD0084,3,784.26,20,1882.22
ITEM0000119,ORD0000066,PROD0044,4,3912.72,0,15650.88
ITEM0000120,ORD0000067,PROD0180,3,5434.17,0,16302.51
ITEM0000121,ORD0000067,PROD0196,4,783.44,0,3133.76
ITEM0000122,ORD0000067,PROD0191,1,1435.77,0,1435.77
ITEM0000123,ORD0000068,PROD0148,3,2543.16,5,7248.01
ITEM0000124,ORD0000068,PROD0084,1,784.26,5,745.05
ITEM0000125,ORD0000069,PROD0055,4,3434.95,10,12365.82
ITEM0000126,ORD0000069,PROD0034,1,50492.99,10,45443.69
ITEM0000127,ORD0000069,PROD0062,3,1138.67,10,3074.41
ITEM0000128,ORD0000070,PROD0142,1,497.1,15,422.54
ITEM0000129,ORD0000071,PROD0150,4,4265.82,0,17063.28
ITEM0000130,ORD0000072,PROD0147,2,3374.12,0,6748.24
ITEM0000131,ORD0000072,PROD0185,2,9871.56,0,19743.12
ITEM0000132,ORD0000072,PROD0028,2,74581.74,0,149163.48
ITEM0000133,ORD0000072,PROD0037,2,56353.69,0,112707.38
ITEM0000134,ORD0000072,PROD0095,4,5158.31,0,20633.24
ITEM0000135,ORD0000073,PROD0049,2,567.72,20,908.35
ITEM0000136,ORD0000073,PROD0068,4,827.32,20,2647.42
ITEM0000137,ORD0000073,PROD0136,1,2648.04,20,2118.43
ITEM0000138,ORD0000074,PROD0132,1,1160.61,20,928.49
ITEM0000139,ORD0000075,PROD0168,2,3183.64,5,6048.92
ITEM0000140,ORD0000075,PROD0088,1,1045.29,5,993.03
ITEM0000141,ORD0000076,PROD0036,2,68871.11,0,137742.22
ITEM0000142,ORD0000077,PROD0137,4,782.23,10,2816.03
ITEM0000143,ORD0000077,PROD0104,3,12889.74,10,34802.3
ITEM0000144,ORD0000078,PROD0081,1,3032.39,0,3032.39
ITEM0000145,ORD0000079,PROD0094,2,8217.48,0,16434.96
ITEM0000146,ORD0000079,PROD0198,4,890.11,0,3560.44
ITEM0000147,ORD0000080,PROD0078,2,3466.82,0,6933.64
ITEM0000148,ORD0000081,PROD0160,4,756.75,0,3027
ITEM0000149,ORD0000081,PROD0093,3,12429.79,0,37289.37
ITEM0000150,ORD0000082,PROD0035,2,24304.78,25,36457.17
ITEM0000151,ORD0000083,PROD0029,3,50556.2,0,151668.6
ITEM0000152,ORD0000084,PROD0068,2,827.32,5,1571.91
ITEM0000153,ORD0000084,PROD0129,2,838.52,5,1593.19
ITEM0000154,ORD0000085,PROD0013,4,40791.56,20,130532.99
ITEM0000155,ORD0000085,PROD0138,4,1511.7,20,4837.44
ITEM0000156,ORD0000085,PROD0169,1,3385.13,20,2708.1
ITEM0000157,ORD0000085,PROD0005,3,40289.58,20,96694.99
ITEM0000158,ORD0000086,PROD0023,2,1503.94,0,3007.88
ITEM0000159,ORD0000086,PROD0150,1,4265.82,0,4265.82
ITEM0000160,ORD0000087,PROD0056,1,4087.83,10,3679.05
ITEM0000161,ORD0000087,PROD0130,4,3062.11,10,11023.6
ITEM0000162,ORD0000087,PROD0067,2,7130.72,10,12835.3
ITEM0000163,ORD0000088,PROD0190,3,1254.49,15,3198.95
ITEM0000164,ORD0000088,PROD0199,4,1292.33,15,4393.92
ITEM0000165,ORD0000088,PROD0137,4,782.23,15,2659.58
ITEM0000166,ORD0000088,PROD0130,3,3062.11,15,7808.38
ITEM0000167,ORD0000088,PROD0040,4,63017.33,15,214258.92
ITEM0000168,ORD0000089,PROD0136,3,2648.04,0,7944.12
ITEM0000169,ORD0000089,PROD0066,1,2108.12,0,2108.12
ITEM0000170,ORD0000089,PROD0046,3,6212.04,0,18636.12
ITEM0000171,ORD0000089,PROD0012,3,33141.38,0,99424.14
ITEM0000172,ORD0000090,PROD0026,2,40491.32,0,80982.64
ITEM0000173,ORD0000090,PROD0169,1,3385.13,0,3385.13
ITEM0000174,ORD0000091,PROD0157,4,1549.94,25,4649.82
ITEM0000175,ORD0000092,PROD0087,1,5742.05,20,4593.64
ITEM0000176,ORD0000092,PROD0154,4,1821.18,20,5827.78
ITEM0000177,ORD0000092,PROD0066,4,2108.12,20,6745.98
ITEM0000178,ORD0000092,PROD0135,1,1341.78,20,1073.42
ITEM0000179,ORD0000093,PROD0101,4,1007.74,0,4030.96
ITEM0000180,ORD0000093,PROD0018,1,43707.38,0,43707.38
ITEM0000181,ORD0000094,PROD0065,4,1921.1,0,7684.4
ITEM0000182,ORD0000094,PROD0178,4,1834.02,0,7336.08
ITEM0000183,ORD0000095,PROD0173,1,8594.8,0,8594.8
ITEM0000184,ORD0000095,PROD0113,1,8226.58,0,8226.58
ITEM0000185,ORD0000095,PROD0038,1,15904.21,0,15904.21
ITEM0000186,ORD0000095,PROD0046,1,6212.04,0,6212.04
