product_id,name,category,subcategory,brand,cost_price,sell_price,margin_pct,is_active
PROD0001,KreateX Nam Electronics,Electronics,Consectetur,Aura,3038.05,4321.28,42.2,1
PROD0002,Bryte Architecto Electronics,Electronics,Quod,KreateX,34842.38,50293.82,44.3,1
PROD0003,Optix Officia Electronics,Electronics,Aperiam,Solus,38126.97,49712.42,30.4,1
PROD0004,ZenBrand Quaerat Electronics,Electronics,Ea,KreateX,18372.2,25591.73,39.3,1
PROD0005,ZenBrand Molestias Electronics,Electronics,Sequi,Lumio,29448.51,40289.58,36.8,1
PROD0006,Optix Praesentium Electronics,Electronics,Cumque,Solus,44360.26,69356.89,56.3,1
PROD0007,Solus Quae Electronics,Electronics,Dolore,Optix,20858.55,27829.19,33.4,1
PROD0008,Optix Eligendi Electronics,Electronics,Modi,Vega,41304.35,57369.56,38.9,1
PROD0009,ZenBrand Amet Electronics,Electronics,Consequuntur,Bryte,18342.49,27237.58,48.5,1
PROD0010,Bryte Accusantium Electronics,Electronics,Porro,Aura,25477.64,32892.86,29.1,1
PROD0011,KreateX Cupiditate Electronics,Electronics,Dolor,ZenBrand,43371.03,58607.44,35.1,1
PROD0012,Trex Nam Electronics,Electronics,Consequuntur,Nova,22597.88,33141.38,46.7,1
PROD0013,Trex Libero Electronics,Electronics,Tenetur,Nova,32419.63,40791.56,25.8,1
PROD0014,ZenBrand Quod Electronics,Electronics,Est,Nova,5426.55,7928.83,46.1,1
PROD0015,KreateX Quos Electronics,Electronics,Veritatis,Bryte,49601.16,67106.58,35.3,1
PROD0016,Aura Ratione Electronics,Electronics,Suscipit,Bryte,30321.26,43331.31,42.9,1
PROD0017,Aura Ducimus Electronics,Electronics,Voluptatibus,Aura,5115.94,8120.73,58.7,1
PROD0018,ZenBrand Commodi Electronics,Electronics,Possimus,Lumio,29913.97,43707.38,46.1,1
PROD0019,Bryte Vel Electronics,Electronics,Suscipit,Bryte,14157.17,21504.79,51.9,1
PROD0020,Bryte Nostrum Electronics,Electronics,Voluptatum,KreateX,31452.84,47540.26,51.1,1
PROD0021,ZenBrand Fuga Electronics,Electronics,Quibusdam,Solus,11009.53,14232.05,29.3,0
PROD0022,Trex Facilis Electronics,Electronics,Necessitatibus,Solus,9579.89,13967,45.8,1
PROD0023,ZenBrand Perferendis Electronics,Electronics,Eligendi,Optix,1176.28,1503.94,27.9,1
PROD0024,Optix Itaque Electronics,Electronics,Numquam,Trex,38983.05,57909.18,48.5,1
PROD0025,ZenBrand Fuga Electronics,Electronics,Delectus,KreateX,31852.88,48796.51,53.2,1
PROD0026,Bryte Dignissimos Electronics,Electronics,Eos,KreateX,28413.02,40491.32,42.5,1
PROD0027,Lumio Esse Electronics,Electronics,Voluptas,Trex,17376.45,27299.16,57.1,1
PROD0028,Optix Dolor Electronics,Electronics,Dicta,Trex,49575.95,74581.74,50.4,1
PROD0029,ZenBrand Dolorem Electronics,Electronics,Quaerat,Lumio,33978.87,50556.2,48.8,1
PROD0030,KreateX Ad Electronics,Electronics,Tempora,Optix,554.05,745.3,34.5,1
PROD0031,Lumio Corrupti Electronics,Electronics,Sequi,Nova,6823.85,9586.34,40.5,1
