category,month,y
Beauty,2022-01,3745.22
Beauty,2022-02,24490.41
Beauty,2022-03,33618.92
Beauty,2022-04,15508.62
Beauty,2022-05,38559.02
Beauty,2022-06,53094.00000000001
Beauty,2022-07,29174.54
Beauty,2022-08,43278.24
Beauty,2022-09,16785.07
Beauty,2022-10,67120.9
Beauty,2022-11,112594.92
Beauty,2022-12,136400.66
Beauty,2023-01,112948.98
Beauty,2023-02,117027.81
Beauty,2023-03,154418.29
Beauty,2023-04,99798.22
Beauty,2023-05,156177.14
Beauty,2023-06,151777.76
Beauty,2023-07,121184.24
Beauty,2023-08,98194.54
Beauty,2023-09,100542.35999999999
Beauty,2023-10,162576.67
Beauty,2023-11,247437.74
Beauty,2023-12,291897.82
Beauty,2024-01,245116.15
Beauty,2024-02,210133.72
Beauty,2024-03,202592.06999999998
Beauty,2024-04,372165.46
Beauty,2024-05,312530.86
Beauty,2024-06,344361.51
Beauty,2024-07,85265.84
Beauty,2024-08,42734.53999999999
Beauty,2024-09,163818.47999999998
Beauty,2024-10,15947.1
Beauty,2024-11,63155.07
Beauty,2024-12,77442.38
Books,2022-01,4307.31
Books,2022-02,5815.49
Books,2022-03,1246.56
Books,2022-04,8712.880000000001
Books,2022-05,12256.36
Books,2022-06,5728.3
Books,2022-07,2802.17
Books,2022-08,9088.58
Books,2022-09,6058.039999999999
Books,2022-10,19486.14
Books,2022-11,28458.53
Books,2022-12,15861.279999999999
Books,2023-01,20097.729999999996
Books,2023-02,24508.120000000003
Books,2023-03,30773.11
Books,2023-04,19692.239999999998
Books,2023-05,23235.2
Books,2023-06,23842.239999999998
Books,2023-07,28269.2
Books,2023-08,16227.3
Books,2023-09,28526.6
Books,2023-10,56436.84
Books,2023-11,45035.26
Books,2023-12,75849.69
Books,2024-01,51536.5
Books,2024-02,78275.83
Books,2024-03,45406.45
Books,2024-04,73587.77
Books,2024-05,59819.73
Books,2024-06,67984.8
Books,2024-07,19940.85
Books,2024-08,11412.050000000001
Books,2024-09,31493.58
Books,2024-10,5831.29
Books,2024-11,8530.61
Books,2024-12,16756.62
Clothing,2022-01,22432.14
Clothing,2022-02,19016.690000000002
Clothing,2022-03,108370.86
Clothing,2022-04,72194.26000000001
Clothing,2022-05,129513.03
Clothing,2022-06,137832.78
Clothing,2022-07,116464.16
Clothing,2022-08,157769.37
Clothing,2022-09,91905.26
Clothing,2022-10,167063.16999999998
Clothing,2022-11,224163.46
Clothing,2022-12,203303.36
Clothing,2023-01,425277.75
Clothing,2023-02,267660.49
Clothing,2023-03,216787.98
Clothing,2023-04,385084.54
Clothing,2023-05,326365.52
Clothing,2023-06,337330.83999999997
Clothing,2023-07,463021.99000000005
Clothing,2023-08,312663.07999999996
Clothing,2023-09,425570.01
Clothing,2023-10,605812.13
Clothing,2023-11,738811.78
Clothing,2023-12,706938.0599999999
Clothing,2024-01,872474.02
Clothing,2024-02,433883.62
Clothing,2024-03,681467.1799999999
Clothing,2024-04,935379.7000000001
Clothing,2024-05,822601.1
Clothing,2024-06,851373.11
Clothing,2024-07,279255.11
Clothing,2024-08,108777.37
Clothing,2024-09,333226.03
Clothing,2024-10,44984.74
Clothing,2024-11,118742.38
Clothing,2024-12,137700.04
Electronics,2022-01,739665.82
Electronics,2022-02,553090.6699999999
Electronics,2022-03,962824.3
Electronics,2022-04,734712.67
Electronics,2022-05,1146298.9700000002
Electronics,2022-06,1682817.77
Electronics,2022-07,243292.38
Electronics,2022-08,1548684.1800000002
Electronics,2022-09,711656.97
Electronics,2022-10,2168628.62
Electronics,2022-11,1915859.4100000001
Electronics,2022-12,1834263.31
Electronics,2023-01,2606118.75
Electronics,2023-02,3591474.9
Electronics,2023-03,3651747.8
Electronics,2023-04,3150021.5
Electronics,2023-05,2380235.7800000003
Electronics,2023-06,2996076.54
Electronics,2023-07,5081191.5600000005
Electronics,2023-08,4507080.82
Electronics,2023-09,4321917.54
Electronics,2023-10,7332417.29
Electronics,2023-11,6769723.5
Electronics,2023-12,8075311.109999999
Electronics,2024-01,5965704.890000001
Electronics,2024-02,5164875.25
Electronics,2024-03,4507340.13
Electronics,2024-04,8663048.33
Electronics,2024-05,8564736.09
Electronics,2024-06,8852396.879999999
Electronics,2024-07,1913979.29
Electronics,2024-08,1037393.3200000001
Electronics,2024-09,3323544.09
Electronics,2024-10,271326.66
Electronics,2024-11,1268994.66
Electronics,2024-12,1056994.6
Home & Kitchen,2022-01,39069.79
Home & Kitchen,2022-02,42224.67
Home & Kitchen,2022-03,89214.20000000001
Home & Kitchen,2022-04,119929.59
Home & Kitchen,2022-05,299347.15
Home & Kitchen,2022-06,149888.2
Home & Kitchen,2022-07,80785.47
Home & Kitchen,2022-08,121119.13
Home & Kitchen,2022-09,394248.66000000003
Home & Kitchen,2022-10,248784.0
Home & Kitchen,2022-11,229610.83000000002
Home & Kitchen,2022-12,310698.67
Home & Kitchen,2023-01,504228.88
Home & Kitchen,2023-02,383122.25
Home & Kitchen,2023-03,238435.69999999998
Home & Kitchen,2023-04,355450.19
Home & Kitchen,2023-05,471602.20999999996
Home & Kitchen,2023-06,616379.39
Home & Kitchen,2023-07,827670.27
Home & Kitchen,2023-08,586313.74
Home & Kitchen,2023-09,715446.0800000001
Home & Kitchen,2023-10,773632.6299999999
Home & Kitchen,2023-11,811591.93
Home & Kitchen,2023-12,1301643.28
Home & Kitchen,2024-01,1059125.77
Home & Kitchen,2024-02,669705.96
Home & Kitchen,2024-03,1018803.95
Home & Kitchen,2024-04,1640028.11
Home & Kitchen,2024-05,1321725.71
Home & Kitchen,2024-06,1475163.91
Home & Kitchen,2024-07,439275.92000000004
Home & Kitchen,2024-08,104484.93000000001
Home & Kitchen,2024-09,550288.98
Home & Kitchen,2024-10,9384.51
Home & Kitchen,2024-11,176034.38
Home & Kitchen,2024-12,345703.54
Sports,2022-01,27047.059999999998
Sports,2022-02,37391.78999999999
Sports,2022-03,40546.03999999999
Sports,2022-04,116982.04000000001
Sports,2022-05,72403.58
Sports,2022-06,151272.31
Sports,2022-07,91260.72
Sports,2022-08,191380.13
Sports,2022-09,91161.25
Sports,2022-10,190434.12
Sports,2022-11,82094.82
Sports,2022-12,187828.2
Sports,2023-01,288074.48
Sports,2023-02,258607.35
Sports,2023-03,322605.33
Sports,2023-04,442267.44999999995
Sports,2023-05,373294.92
Sports,2023-06,378535.92
Sports,2023-07,210767.9
Sports,2023-08,347069.38
Sports,2023-09,457914.04000000004
Sports,2023-10,571396.78
Sports,2023-11,600361.66
Sports,2023-12,647499.69
Sports,2024-01,706250.71
Sports,2024-02,477505.58
Sports,2024-03,542429.04
Sports,2024-04,976425.2
Sports,2024-05,586322.45
Sports,2024-06,803475.1599999999
Sports,2024-07,187495.06
Sports,2024-08,108083.45000000001
Sports,2024-09,241854.32
Sports,2024-10,55121.28
Sports,2024-11,138068.12
Sports,2024-12,26711.730000000003
