week,actual_revenue,type,predicted_revenue,lower_bound,upper_bound
2022-01-09,167606.34,Actual,,,
2022-01-16,345710.54000000004,Actual,,,
2022-01-23,322950.45999999996,Actual,,,
2022-01-30,0.0,Actual,,,
2022-02-06,0.0,Actual,,,
2022-02-13,428953.64,Actual,,,
2022-02-20,0.0,Actual,,,
2022-02-27,233393.8,Actual,,,
2022-03-06,19682.28,Actual,,,
2022-03-13,442024.06,Actual,,,
2022-03-20,564473.01,Actual,,,
2022-03-27,134115.21,Actual,,,
2022-04-03,95208.6,Actual,,,
2022-04-10,294331.19,Actual,,,
2022-04-17,286653.42,Actual,,,
2022-04-24,415068.31,Actual,,,
2022-05-01,71987.14,Actual,,,
2022-05-08,37589.82,Actual,,,
2022-05-15,773476.76,Actual,,,
2022-05-22,129654.76999999999,Actual,,,
2022-05-29,395934.72,Actual,,,
2022-06-05,361722.04000000004,Actual,,,
2022-06-12,1179297.24,Actual,,,
2022-06-19,234971.91999999998,Actual,,,
2022-06-26,187952.63,Actual,,,
2022-07-03,578411.57,Actual,,,
2022-07-10,71574.09,Actual,,,
2022-07-17,251322.86000000002,Actual,,,
2022-07-24,73243.78,Actual,,,
2022-07-31,167638.71,Actual,,,
2022-08-07,194098.41,Actual,,,
2022-08-14,443521.42000000004,Actual,,,
2022-08-21,543845.75,Actual,,,
2022-08-28,455406.98,Actual,,,
2022-09-04,434447.06999999995,Actual,,,
2022-09-11,429784.10000000003,Actual,,,
2022-09-18,398552.6,Actual,,,
2022-09-25,352586.23,Actual,,,
2022-10-02,130892.32,Actual,,,
2022-10-09,456609.04,Actual,,,
2022-10-16,340430.07,Actual,,,
2022-10-23,686683.76,Actual,,,
2022-10-30,1190680.19,Actual,,,
2022-11-06,187113.89,Actual,,,
2022-11-13,588936.79,Actual,,,
2022-11-20,713980.24,Actual,,,
2022-11-27,923289.9600000001,Actual,,,
2022-12-04,366574.98,Actual,,,
2022-12-11,111421.0,Actual,,,
2022-12-18,977065.76,Actual,,,
2022-12-25,719118.74,Actual,,,
2023-01-01,880749.98,Actual,,,
2023-01-08,686416.6799999999,Actual,,,
2023-01-15,1721076.77,Actual,,,
2023-01-22,533902.1599999999,Actual,,,
2023-01-29,365053.98,Actual,,,
2023-02-05,650296.98,Actual,,,
2023-02-12,2207052.76,Actual,,,
2023-02-19,436007.0,Actual,,,
2023-02-26,1072777.1300000001,Actual,,,
2023-03-05,926564.03,Actual,,,
2023-03-12,2155179.76,Actual,,,
2023-03-19,710139.04,Actual,,,
2023-03-26,924086.2799999999,Actual,,,
2023-04-02,825363.13,Actual,,,
2023-04-09,1715522.83,Actual,,,
2023-04-16,954938.1900000001,Actual,,,
2023-04-23,631205.09,Actual,,,
2023-04-30,1150648.03,Actual,,,
2023-05-07,931669.01,Actual,,,
2023-05-14,853637.58,Actual,,,
2023-05-21,460616.95,Actual,,,
2023-05-28,874060.98,Actual,,,
2023-06-04,610926.25,Actual,,,
2023-06-11,1690647.9,Actual,,,
2023-06-18,1225249.5999999999,Actual,,,
2023-06-25,867085.09,Actual,,,
2023-07-02,720960.1,Actual,,,
2023-07-09,1473344.52,Actual,,,
2023-07-16,2346849.38,Actual,,,
2023-07-23,450987.71,Actual,,,
2023-07-30,1256226.58,Actual,,,
2023-08-06,1204696.97,Actual,,,
2023-08-13,1639895.81,Actual,,,
2023-08-20,1578788.78,Actual,,,
2023-08-27,1094039.43,Actual,,,
2023-09-03,1554824.84,Actual,,,
2023-09-10,969389.18,Actual,,,
2023-09-17,1655254.96,Actual,,,
2023-09-24,1909590.15,Actual,,,
2023-10-01,1515682.34,Actual,,,
2023-10-08,636706.74,Actual,,,
2023-10-15,3749148.11,Actual,,,
2023-10-22,2218581.83,Actual,,,
2023-10-29,1724731.96,Actual,,,
2023-11-05,1173103.7,Actual,,,
2023-11-12,2158246.5100000002,Actual,,,
2023-11-19,3227972.66,Actual,,,
2023-11-26,2455974.5900000003,Actual,,,
2023-12-03,1370768.11,Actual,,,
2023-12-10,1933752.15,Actual,,,
2023-12-17,3458690.06,Actual,,,
2023-12-24,2155934.77,Actual,,,
2023-12-31,3550762.67,Actual,,,
2024-01-07,2461912.59,Actual,,,
2024-01-14,681010.69,Actual,,,
2024-01-21,2214946.01,Actual,,,
2024-01-28,1670354.91,Actual,,,
2024-02-04,1871983.84,Actual,,,
2024-02-11,850269.02,Actual,,,
2024-02-18,1731891.14,Actual,,,
2024-02-25,1551432.6,Actual,,,
2024-03-03,2900787.2,Actual,,,
2024-03-10,1172853.78,Actual,,,
2024-03-17,1525207.3199999998,Actual,,,
2024-03-24,2349800.33,Actual,,,
2024-03-31,1950177.39,Actual,,,
2024-04-07,2631764.0,Actual,,,
2024-04-14,1326063.57,Actual,,,
2024-04-21,3106454.08,Actual,,,
2024-04-28,3078078.33,Actual,,,
2024-05-05,2518274.59,Actual,,,
2024-05-12,438554.66,Actual,,,
2024-05-19,2654571.26,Actual,,,
2024-05-26,4272506.74,Actual,,,
2024-06-02,4302103.28,Actual,,,
2024-06-09,2802918.03,Actual,,,
2024-06-16,2059716.01,Actual,,,
2024-06-23,4577811.03,Actual,,,
2024-06-30,2954310.3,Actual,,,
2024-07-07,2007896.01,Actual,,,
2024-07-14,0.0,Actual,,,
2024-07-21,0.0,Actual,,,
2024-07-28,0.0,Actual,,,
2024-08-04,917316.06,Actual,,,
2024-08-11,1062964.17,Actual,,,
2024-08-18,0.0,Actual,,,
2024-08-25,0.0,Actual,,,
2024-09-01,349921.49,Actual,,,
2024-09-08,1692467.8900000001,Actual,,,
2024-09-15,0.0,Actual,,,
2024-09-22,0.0,Actual,,,
2024-09-29,0.0,Actual,,,
2024-10-06,2951757.59,Actual,,,
2024-10-13,0.0,Actual,,,
2024-10-20,0.0,Actual,,,
2024-10-27,0.0,Actual,,,
2024-11-03,402595.58,Actual,,,
2024-11-10,1520519.8900000001,Actual,,,
2024-11-17,0.0,Actual,,,
2024-11-24,0.0,Actual,,,
2024-12-01,253005.33,Actual,,,
2024-12-08,1661308.91,Actual,,,
2024-12-15,,Forecast,3231074.0,1988942.0,4396691.0
2024-12-22,,Forecast,5145000.0,3987498.0,6402685.0
2024-12-29,,Forecast,5166666.0,3992637.0,6308826.0
2025-01-05,,Forecast,4148053.0,2873057.0,5346857.0
2025-01-12,,Forecast,1536465.0,308232.0,2704509.0
2025-01-19,,Forecast,1275659.0,97634.0,2531897.0
2025-01-26,,Forecast,1641548.0,482990.0,2894299.0
2025-02-02,,Forecast,2639222.0,1479232.0,3837209.0
2025-02-09,,Forecast,2513302.0,1344376.0,3702489.0
2025-02-16,,Forecast,2316604.0,1119950.0,3661786.0
2025-02-23,,Forecast,2444799.0,1282163.0,3586387.0
2025-03-02,,Forecast,2934460.0,1790104.0,4197752.0
