product_id,category,stock_qty,reorder_point,needs_restock,units_sold_total,warehouse_location
PROD0001,Electronics,21,17,0,117,WH-A05
PROD0002,Electronics,36,16,0,111,WH-B06
PROD0003,Electronics,28,19,0,132,WH-A12
PROD0004,Electronics,13,17,1,119,WH-D13
PROD0005,Electronics,27,17,0,116,WH-A04
PROD0006,Electronics,25,19,0,133,WH-A10
PROD0007,Electronics,42,22,0,151,WH-C01
PROD0008,Electronics,7,18,1,124,WH-A04
PROD0009,Electronics,37,16,0,107,WH-D06
PROD0010,Electronics,35,17,0,116,WH-A18
PROD0011,Electronics,18,17,0,115,WH-D02
PROD0012,Electronics,47,19,0,131,WH-D04
PROD0013,Electronics,31,19,0,132,WH-A12
PROD0014,Electronics,29,24,0,162,WH-C13
PROD0015,Electronics,11,14,1,94,WH-D17
PROD0016,Electronics,4,18,1,124,WH-D09
PROD0017,Electronics,13,12,0,80,WH-A09
PROD0018,Electronics,11,16,1,111,WH-A10
PROD0019,Electronics,37,21,0,146,WH-C18
PROD0020,Electronics,15,18,1,121,WH-C04
PROD0021,Electronics,0,10,1,0,WH-A10
PROD0022,Electronics,45,20,0,135,WH-D09
PROD0023,Electronics,20,13,0,89,WH-A07
PROD0024,Electronics,1,15,1,103,WH-D17
PROD0025,Electronics,30,17,0,114,WH-D06
PROD0026,Electronics,20,19,0,132,WH-D16
PROD0027,Electronics,52,29,0,197,WH-C05
PROD0028,Electronics,51,19,0,131,WH-B08
PROD0029,Electronics,54,22,0,153,WH-B14
PROD0030,Electronics,30,16,0,107,WH-A15
PROD0031,Electronics,31,18,0,126,WH-D10
PROD0032,Electronics,12,21,1,144,WH-C06
PROD0033,Electronics,43,20,0,136,WH-D06
PROD0034,Electronics,5,14,1,94,WH-B18
PROD0035,Electronics,22,17,0,117,WH-C13
PROD0036,Electronics,46,19,0,129,WH-B16
PROD0037,Electronics,7,13,1,92,WH-D10
PROD0038,Electronics,42,16,0,109,WH-D15
PROD0039,Electronics,48,20,0,138,WH-B05
PROD0040,Electronics,42,18,0,122,WH-D12
PROD0041,Clothing,31,19,0,131,WH-B15
PROD0042,Clothing,17,19,1,133,WH-C03
PROD0043,Clothing,28,19,0,133,WH-A01
PROD0044,Clothing,21,22,1,149,WH-A10
PROD0045,Clothing,46,18,0,123,WH-C09
PROD0046,Clothing,14,20,1,135,WH-B09
