month,orders,revenue,avg_order_value
2022-01,12,836267.34,69688.95
2022-02,9,662347.44,73594.16
2022-03,17,1160294.56,68252.62
2022-04,18,1163248.66,64624.93
2022-05,31,1698378.11,54786.39
2022-06,34,2171158.53,63857.6
2022-07,25,573254.27,22930.17
2022-08,29,1931071.48,66588.67
2022-09,38,1452063.4,38212.19
2022-10,45,2692423.1,59831.62
2022-11,62,2757109.35,44469.51
2022-12,47,2606385.74,55455.02
2023-01,72,3583045.53,49764.52
2023-02,87,4602653.6,52904.06
2023-03,83,4847942.35,58408.94
2023-04,93,4719324.57,50745.43
2023-05,88,3592854.04,40827.89
2023-06,101,4544296.98,44993.04
2023-07,113,5695576.99,50403.34
2023-08,85,6260813.68,73656.63
2023-09,120,6498210.53,54151.75
2023-10,140,9015597.09,64397.12
2023-11,170,9778432.5,57520.19
2023-12,198,11313016.16,57136.45
2024-01,168,7662979.09,45612.97
2024-02,153,6867733.08,44887.14
2024-03,198,8401914.65,42433.91
2024-04,217,11666875.17,53764.4
2024-05,229,11941189.73,52144.93
2024-06,247,13115060.98,53097.41
2024-07,40,2007896.01,50197.4
2024-08,46,1980280.23,43049.57
2024-09,43,2042389.38,47497.43
2024-10,48,2951757.59,61494.95
2024-11,44,1923115.47,43707.17
2024-12,46,1914314.24,41615.53
