category,product_id,units_sold,revenue,avg_margin_pct
Electronics,PROD0028,103,7197137.91,50.4
Electronics,PROD0036,94,5950463.91,53.8
Electronics,PROD0039,98,5945807.59,59.2
Electronics,PROD0006,88,5676861.42,56.3
Electronics,PROD0011,95,5265878.52,35.1
Electronics,PROD0029,107,5030341.9,48.8
Electronics,PROD0008,91,4867807.18,38.9
Electronics,PROD0040,75,4332441.44,41.2
Electronics,PROD0003,86,3981964.86,30.4
Electronics,PROD0015,62,3902247.63,35.3
Electronics,PROD0037,73,3832050.91,38.4
Electronics,PROD0025,84,3791488.83,53.2
Electronics,PROD0002,83,3787124.65,44.3
Electronics,PROD0020,82,3648714.93,51.1
Electronics,PROD0024,69,3639591.93,48.5
Electronics,PROD0032,100,3564081.07,37.0
Electronics,PROD0016,86,3455671.99,42.9
Electronics,PROD0026,90,3409369.15,42.5
Electronics,PROD0005,90,3392382.62,36.8
Electronics,PROD0033,101,3228047.83,36.1
Electronics,PROD0027,121,3069790.54,57.1
Electronics,PROD0007,117,3037556.06,33.4
Electronics,PROD0013,80,2963506.83,25.8
Electronics,PROD0018,72,2884687.07,46.1
Electronics,PROD0034,61,2852853.92,29.1
Electronics,PROD0012,75,2308297.1,46.7
Electronics,PROD0010,73,2276185.9,29.1
Electronics,PROD0019,105,2123597.98,51.9
Electronics,PROD0009,80,2059161.06,48.5
Electronics,PROD0035,81,1803414.65,33.9
Electronics,PROD0004,65,1511191.64,39.3
Home & Kitchen,PROD0092,117,1370030.69,26.4
Electronics,PROD0022,94,1222112.5,45.8
Home & Kitchen,PROD0093,105,1221226.83,29.0
Home & Kitchen,PROD0096,112,1213155.72,36.4
Electronics,PROD0038,69,1035364.1,28.3
Home & Kitchen,PROD0099,81,969639.13,55.3
Sports,PROD0165,116,960967.84,49.0
Home & Kitchen,PROD0118,93,944450.49,31.2
Sports,PROD0167,91,942170.15,41.9
Home & Kitchen,PROD0114,77,900901.95,45.2
Home & Kitchen,PROD0115,78,885506.52,46.4
Sports,PROD0184,80,884751.34,50.7
Home & Kitchen,PROD0104,70,847500.42,37.2
Sports,PROD0166,104,837543.61,25.3
Home & Kitchen,PROD0105,109,824005.23,45.0
Electronics,PROD0014,110,823805.46,46.1
Home & Kitchen,PROD0091,80,815941.9,39.5
Home & Kitchen,PROD0098,77,806490.34,36.7
Home & Kitchen,PROD0127,89,787928.49,53.1
Sports,PROD0171,84,776389.09,29.8
Sports,PROD0185,83,745796.35,29.9
Home & Kitchen,PROD0108,89,738382.46,42.1
Sports,PROD0173,87,714227.88,43.8
Sports,PROD0179,61,654871.81,46.2
Home & Kitchen,PROD0123,70,646757.01,35.1
Clothing,PROD0054,92,622631.96,47.0
Electronics,PROD0031,66,598666.95,40.5
Sports,PROD0177,106,589836.53,50.8
Home & Kitchen,PROD0094,78,588371.56,32.3
Clothing,PROD0067,91,584005.95,51.4
Home & Kitchen,PROD0109,101,575156.66,46.0
Sports,PROD0181,104,565259.25,54.0
Home & Kitchen,PROD0097,79,530590.99,47.1
Clothing,PROD0053,97,526586.79,57.3
Clothing,PROD0046,88,523364.36,28.8
Home & Kitchen,PROD0117,85,513690.19,45.8
Clothing,PROD0085,93,509988.11,26.7
Clothing,PROD0077,88,504047.99,47.1
Clothing,PROD0051,99,477644.53,37.8
Home & Kitchen,PROD0113,60,463567.77,56.4
Sports,PROD0175,72,454239.92,29.3
Clothing,PROD0071,124,442935.68,45.3
Clothing,PROD0043,90,434335.28,49.5
Clothing,PROD0056,113,434127.57,37.1
Sports,PROD0183,109,432093.59,26.4
Clothing,PROD0087,81,431802.17,35.4
Sports,PROD0180,83,423865.24,45.7
Clothing,PROD0044,114,413965.77,50.6
Home & Kitchen,PROD0128,73,412166.27,56.0
Beauty,PROD0133,123,404490.13,56.4
Clothing,PROD0052,85,404070.44,44.5
Beauty,PROD0150,100,399494.06,45.4
Clothing,PROD0064,102,394061.76,45.8
Clothing,PROD0050,85,390307.6,56.4
Electronics,PROD0017,49,368681.15,58.7
Beauty,PROD0145,118,342672.07,42.9
Clothing,PROD0059,118,338583.95,48.1
Home & Kitchen,PROD0107,70,335645.84,51.1
Home & Kitchen,PROD0095,68,334258.5,52.4
Clothing,PROD0063,83,331997.28,26.3
Home & Kitchen,PROD0116,82,330443.72,30.8
Clothing,PROD0079,85,317045.7,31.5
Beauty,PROD0155,91,311811.56,47.7
Electronics,PROD0001,77,310916.12,42.2
Beauty,PROD0146,73,310070.89,57.6
Home & Kitchen,PROD0111,81,306888.76,28.7
Beauty,PROD0147,94,300127.98,57.3
Sports,PROD0168,101,296556.07,43.8
Clothing,PROD0041,100,295937.46,48.5
Clothing,PROD0060,96,295640.43,39.5
Clothing,PROD0075,116,293748.68,32.6
Sports,PROD0174,90,293460.51,36.2
Sports,PROD0169,89,286381.97,43.7
Sports,PROD0164,88,285241.27,46.9
Clothing,PROD0045,77,278551.5,52.9
Clothing,PROD0078,82,264691.71,58.5
Beauty,PROD0148,107,260165.27,35.7
Clothing,PROD0081,89,250323.74,30.7
Home & Kitchen,PROD0119,89,247422.71,34.9
Clothing,PROD0082,98,237647.13,26.8
Beauty,PROD0136,96,233027.51,57.4
Home & Kitchen,PROD0103,85,231701.32,37.4
Clothing,PROD0055,71,228252.43,57.7
Clothing,PROD0048,73,220605.69,27.3
Home & Kitchen,PROD0130,73,212051.12,42.7
Beauty,PROD0149,65,210688.27,33.2
Clothing,PROD0066,100,193525.43,30.0
Beauty,PROD0131,67,189604.33,51.1
Beauty,PROD0154,109,183939.15,39.8
Sports,PROD0182,90,183272.61,44.1
Sports,PROD0161,58,171595.05,49.7
Sports,PROD0178,100,168546.42,54.3
Beauty,PROD0158,104,160440.09,45.0
Clothing,PROD0083,87,159915.9,31.8
Clothing,PROD0080,70,155536.3,54.3
Beauty,PROD0157,106,152824.12,54.6
Clothing,PROD0058,127,139131.43,57.9
Home & Kitchen,PROD0100,70,138215.74,39.6
Beauty,PROD0153,82,137032.27,41.6
